,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_cadence,average_heartrate,weighted_average_watt,max_watts,commute,trainer,gear_id,sport_type
124,7506978645,Afternoon Ride,2022-07-21T17:35:51Z,EBikeRide,13226.5,1973,2109,146.4,6.704,11.78,70.0,0.0,0,0,True,False,b9738894,EBikeRide
125,7505758732,Afternoon Ride,2022-07-21T13:33:46Z,EBikeRide,12315.4,1669,1732,83.8,7.379,11.8,69.3,0.0,0,0,True,False,b9738894,EBikeRide
126,7504299761,Rio Pequeno,2022-07-21T06:47:24Z,Ride,66069.4,7263,7350,345.0,9.097,14.172,81.5,136.1,0,675,False,False,b8223536,Ride
127,7499176125,Giro de Quarta,2022-07-20T06:48:40Z,Ride,68004.4,9753,10036,1048.6,6.973,15.7,71.6,126.7,0,725,False,False,b6549732,GravelRide
128,7496007417,Afternoon Ride,2022-07-19T16:52:12Z,EBikeRide,12621.4,1775,1775,135.0,7.111,12.94,69.1,0.0,0,0,True,False,b9738894,EBikeRide
129,7494697777,Lunch Ride,2022-07-19T12:33:05Z,EBikeRide,11643.6,1704,1704,86.8,6.833,12.96,64.7,0.0,0,0,True,False,b9738894,EBikeRide
130,7493639165,Wahoo SYSTM: Colombia Connection,2022-07-19T08:32:33Z,VirtualRide,14311.2,2097,2097,0,6.825,8.44,81.3,109.5,0,233,False,True,b4532046,VirtualRide
131,7493463517,Wahoo SYSTM: A Dog's Life 2,2022-07-19T08:07:39Z,VirtualRide,9612.9,1477,1477,0,6.508,7.78,84.5,111.1,0,143,False,True,b4532046,VirtualRide
132,7488220343,Wahoo SYSTM: AC/DC (2 sets of 3 X 20s AC ),2022-07-18T07:21:23Z,VirtualRide,16182.6,2190,2190,0,7.389,11.58,81.6,117.6,0,642,False,True,b4532046,VirtualRide
133,7478406715,Bocaiuva ,2022-07-16T06:27:20Z,Ride,91579.2,15355,16923,1612.6,5.964,17.167,69.7,130.6,0,0,False,False,b5415304,MountainBikeRide
134,7469811254,Afternoon Ride,2022-07-14T17:14:50Z,EBikeRide,12038.2,1967,2034,138.6,6.12,10.88,68.6,0.0,0,0,True,False,b9738894,EBikeRide
135,7468455076,Lunch Ride,2022-07-14T12:53:51Z,EBikeRide,11653.2,1612,1637,92.6,7.229,14.62,68.3,0.0,0,0,True,False,b9738894,EBikeRide
136,7467297484,Wahoo SYSTM: Stars and Water Carriers,2022-07-14T07:41:09Z,VirtualRide,40960.6,5369,5369,0,7.629,8.72,82.1,118.3,0,198,False,True,b4532046,VirtualRide
137,7461851403,MTB de Quarta,2022-07-13T06:43:15Z,Ride,57556.9,9328,9378,1018.2,6.17,14.509,76.5,129.5,0,0,False,False,b5415304,MountainBikeRide
138,7470445729,Afternoon Ride,2022-07-12T17:16:10Z,EBikeRide,12061.9,1859,1954,140.0,6.488,12.5,65.0,0.0,0,0,True,False,b9738894,EBikeRide
139,7457263273,Lunch Ride,2022-07-12T12:33:54Z,EBikeRide,11093.3,1525,1554,125.4,7.274,13.36,68.6,112.9,0,0,True,False,b9738894,EBikeRide
140,7455876562,Wahoo SYSTM: Plan B: The Fall & Rise,2022-07-12T07:22:06Z,VirtualRide,24266.0,3192,3192,0,7.602,8.72,87.6,125.1,0,194,False,True,b4532046,VirtualRide
141,7445868336,Coffee ride ,2022-07-10T07:43:42Z,Ride,57551.5,6744,8413,248.0,8.534,13.188,81.1,121.1,0,643,False,False,b8223536,Ride
142,7440881140,Araucária ,2022-07-09T06:32:39Z,Ride,104219.0,16241,19583,1644.6,6.417,17.06,66.0,120.9,0,822,False,False,b6549732,GravelRide
143,7432111658,Afternoon Ride,2022-07-07T17:11:28Z,EBikeRide,11872.4,1823,1894,131.6,6.513,12.56,68.2,0.0,0,0,True,False,b9738894,EBikeRide
144,7430666858,Lunch Ride,2022-07-07T12:34:30Z,EBikeRide,12449.2,1723,1791,86.6,7.225,11.7,68.2,0.0,0,0,True,False,b9738894,EBikeRide
145,7430064394,MTB de Quinta,2022-07-07T06:44:35Z,Ride,68970.2,12233,14401,1169.0,5.638,16.692,69.7,121.1,0,0,False,False,b5415304,MountainBikeRide
146,7427437174,Evening Ride,2022-07-06T20:06:34Z,EBikeRide,13031.4,1863,1882,137.8,6.995,11.18,69.4,0.0,0,0,True,False,b9738894,EBikeRide
147,7424245778,Morning Ride,2022-07-06T08:56:53Z,EBikeRide,12050.5,1701,1740,90.2,7.084,15.34,67.1,0.0,0,0,True,False,b9738894,EBikeRide
148,7423733172,Wahoo SYSTM: SUF Idol,2022-07-06T07:14:48Z,VirtualRide,14452.5,1787,1787,0,8.088,12.44,83.5,134.1,0,794,False,True,b4532046,VirtualRide
149,7421352484,Afternoon Ride,2022-07-05T17:16:10Z,EBikeRide,12019.4,1856,1954,150.0,6.476,12.46,65.0,0.0,0,0,True,False,b9738894,EBikeRide
150,7421351156,Lunch Ride,2022-07-05T12:46:45Z,EBikeRide,12438.6,1688,1744,90.2,7.369,14.34,70.8,0.0,0,0,True,False,b9738894,EBikeRide
